pop_id,spp,gfe_id,sys_nm,geom_mean
48502,CM,454,JOHNSTON CREEK,197.0238963
48970,CM,789,WEST CREEK,189.2317443
49550,CM,899,RAINBOW CREEK,386.4748487
49752,CM,926,HOGAN CREEK,31.58179799
49762,CM,928,DRANEY CREEK,2200.956747
49767,CM,929,LOCKHART GORDON CREEK,2414.521345
49772,CM,930,ALLARD CREEK,230.2461266
49777,CM,931,JOHNSTON CREEK,53.6578429
49792,CM,934,NICKNAQUEET RIVER,56.75621115
49882,CM,701,EAGLE CREEK,8.979860475
50228,CM,1023,AALTANHASH RIVER,67.83863988
50233,CM,1024,MARMOT COVE CREEK,167.9849229
50238,CM,1025,SCOW BAY CREEK,363.48326
50243,CM,1026,KLEKANE RIVER,84.63262683
50458,CM,935,WANNOCK RIVER,7610.236394
51228,CM,1018,GREEN RIVER,3468.731629
51233,CM,1019,TAYLOR CREEK,34.70600502
51238,CM,1020,MARSHALL CREEK,49.23566717
51243,CM,1021,KHUTZE RIVER,1985.119999
51613,CM,937,AMBACK CREEK,19.38679984
51618,CM,938,DALLERY CREEK,40.83689877
51623,CM,939,ASHLULM CREEK,53.0082692
51628,CM,940,MACHMELL RIVER,12
51633,CM,941,NEECHANZ RIVER,10
51638,CM,942,GENESEE CREEK,10.98567113
51653,CM,945,WASHWASH RIVER,6.842554289
51663,CM,947,KILBELLA RIVER,617.2602943
51668,CM,948,CHUCKWALLA RIVER,1262.607347
51673,CM,949,CLYAK RIVER,2829.26466
51678,CM,950,YOUNG RIVER,630.4844735
51683,CM,951,NIEL CREEK,379.5163027
51688,CM,952,MILTON RIVER,86.91357824
51693,CM,953,MACNAIR CREEK,813.7906502
51703,CM,955,BEAVER CREEK,183.7891195
51713,CM,957,KOEYE RIVER,455.3297043
51718,CM,958,COLD CREEK,34.99635512
51723,CM,959,NAMU RIVER,97.73846765
51728,CM,960,NOOTUM RIVER,632.5785868
51733,CM,961,QUATLENA RIVER,754.4457687
51738,CM,962,KWATNA RIVER,5065.383614
51743,CM,963,THORWALD CREEK,2
51748,CM,964,ASSEEK RIVER,136.3622812
51753,CM,965,TALEOMEY RIVER,562.0095036
51758,CM,966,NOEICK RIVER,509.7647822
51763,CM,967,CAMP CREEK,111.4387917
51771,CM,968,BELLA COOLA RIVER,45883.38926
51772,CM,968,BELLA COOLA RIVER,7937.00526
51778,CM,969,SNOOTLI CREEK,2704.332447
51788,CM,971,NECLEETSCONNAY RIVER,2086.869455
51793,CM,972,NIEUMIAMUS CREEK,300.7635062
51798,CM,973,NOOSESECK RIVER,594.0508816
51803,CM,974,NUSASH CREEK,16.5487546
51808,CM,975,DEAN RIVER,1227.167533
51813,CM,976,GRANTHAM CREEK,1805.448182
51818,CM,977,KIMSQUIT RIVER,32549.33876
51823,CM,978,SKOWQUILTZ RIVER,588.7127239
51828,CM,979,DEEP BAY CREEK,94.07489736
51833,CM,980,STEELHEAD CREEK,17.18771928
51838,CM,981,NASCALL CREEK,7.745966692
51843,CM,7990611,WORAN CREEK,486.181285
51848,CM,983,CASCADE RIVER,6312.941888
